2023.04.16 15:31:30 WARN  es[][o.e.t.ThreadPool] timer thread slept for [1.6d/142535593ms] on absolute clock which is above the warn threshold of [5000ms]
2023.04.16 15:32:27 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] no longer exceeded on [YC9DAJ3BQ1iOFNEHjit3uA][sonarqube][/opt/sonarqube/data/es7/nodes/0] free: 3.8gb[10%], but low disk watermark [85%] is still exceeded
2023.04.16 15:45:27 INFO  es[][o.e.n.Node] version[7.16.2], pid[37], build[default/tar/2b937c44140b6559905130a8650c64dbd0879cfb/2021-12-18T19:42:46.604893745Z], OS[Linux/5.19.0-38-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/11.0.13/11.0.13+8]
2023.04.16 15:45:27 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2023.04.16 15:45:27 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2023.04.16 15:45:28 INFO  es[][o.e.p.PluginsService] no plugins loaded
