2023.04.11 13:20:21 WARN  es[][o.e.t.ThreadPool] timer thread slept for [13.6h/49152572ms] on absolute clock which is above the warn threshold of [5000ms]
2023.04.11 13:20:35 WARN  es[][o.e.t.ThreadPool] absolute clock went backwards by [984ms/984ms] while timer thread was sleeping
2023.04.11 17:47:29 WARN  es[][o.e.t.ThreadPool] timer thread slept for [29.1m/1748695ms] on absolute clock which is above the warn threshold of [5000ms]
2023.04.11 18:39:23 INFO  es[][o.e.n.Node] version[7.16.2], pid[37], build[default/tar/2b937c44140b6559905130a8650c64dbd0879cfb/2021-12-18T19:42:46.604893745Z], OS[Linux/5.19.0-38-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/11.0.13/11.0.13+8]
2023.04.11 18:39:23 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2023.04.11 18:39:23 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2023.04.11 18:39:24 INFO  es[][o.e.p.PluginsService] no plugins loaded
2023.04.11 18:39:24 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/sdb5)]], net usable_space [7.8gb], net total_space [38.7gb], types [ext4]
2023.04.11 18:39:24 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2023.04.11 18:39:25 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [YC9DAJ3BQ1iOFNEHjit3uA], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
2023.04.11 18:39:33 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2023.04.11 18:39:34 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2023.04.11 18:39:35 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2023.04.11 18:39:35 INFO  es[][o.e.n.Node] initialized
2023.04.11 18:39:35 INFO  es[][o.e.n.Node] starting ...
2023.04.11 18:39:36 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:41435}, bound_addresses {127.0.0.1:41435}
2023.04.11 18:39:37 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2023.04.11 18:39:37 INFO  es[][o.e.c.c.Coordinator] cluster UUID [fah_FOqSSTqMilhrKFUAng]
